REACTIONS
ENTRY;DATABASE ID;EQUATION;Lower FLUX bound;Upper FLUX bound;Min FLUX;Max FLUX
1;rxn00423_c0;cpd00022_c0 + cpd00054_c0 => CoA_c0 + cpd00722_c0;0;1000;0;669.159
2;rxn00364_c0;ATP_c0 + CMP_c0 + H+_c0 <=> ADP_c0 + CDP_c0;-1000;1000;0.000882681;0.00914673
3;rxn02177_c0;H2O_c0 + cpd00658_c0 => cpd00020_c0 + cpd02566_c0;0;1000;0;0
4;rxn05250_c0;CoA_c0 + ATP_c0 + fa6_c0 => PPi_c0 + AMP_c0 + fa6coa_c0;0;1000;0;0
5;rxn01673_c0;ATP_c0 + dCDP_c0 <=> ADP_c0 + dCTP_c0;-1000;1000;-0.000948846;0
6;rxn00642_c0;cpd00083_c0 => H2O_c0 + cpd00900_c0;0;1000;0;0
7;rxn00973_c0;Citrate_c0 <=> cpd00260_c0;-1000;1000;-1000;1000
8;rxn02000_c0;cpd00521_c0 <=> cpd00522_c0;-1000;1000;0.000129204;0.00129204
9;rxn11962_c0;4 O2_c0 + 2 cpd00483_c0 <=> 2 H+_c0 + 2 H2O2_c0 + 2 O2-_c0 + cpd03351_c0;-1000;1000;0;0
10;rxn04271_c0;H2O_c0 + NAD_c0 + cpd08739_c0 <=> 2 H+_c0 + NADH_c0 + cpd08740_c0;-1000;1000;0;0
11;rxn13783_c0; => cpd17042_c0;0;1000;0.00516598;0.0516598
12;rxn10118_c0;2 H+_c0 + H2_c0 + cpd15560_c0 => 2 H+_e0[e] + cpd15561_c0;0;1000;0.111658;2.41511
13;rxn10231_c0;cpd00054_c0 + cpd15688_c0 => CMP_c0 + 2 H+_c0 + cpd15694_c0;0;1000;0;0
14;rxn12637_c0;H2O_c0 + cpd11589_c0 <=> Glycine_c0 + cpd00041_c0;-1000;1000;0;0
15;rxn03046_c0;ATP_c0 + cpd02519_c0 <=> H+_c0 + ADP_c0 + cpd02744_c0;-1000;1000;0;0
16;rxn00172_c0;CoA_c0 + ATP_c0 + Acetate_c0 <=> cpd00022_c0 + ADP_c0 + cpd00009_c0;-1000;1000;-999.897;1000
17;rxn01219_c0;ATP_c0 + H+_c0 + dCMP_c0 <=> ADP_c0 + dCDP_c0;-1000;1000;-0.000948846;0
18;rxn00519_c0;cpd00032_c0 + ITP_c0 <=> CO2_c0 + cpd00061_c0 + IDP_c0;-1000;1000;-1000;999.973
19;rxn00258_c0;cpd00020_c0 + cpd00070_c0 <=> cpd00022_c0 + cpd00032_c0;-1000;1000;-0.133234;-0.0133234
20;rxn00800_c0;cpd02375_c0 <=> AMP_c0 + cpd00106_c0;-1000;1000;0.00201964;0.0201964
21;rxn09177_c0;CTP_c0 + cpd00084_c0 + cpd02201_c0 => CMP_c0 + 2 H+_c0 + PPi_c0 + cpd02666_c0;0;1000;0;0.000319926
22;rxn00211_c0;H2O_c0 + 2 NAD_c0 + cpd00026_c0 <=> 3 H+_c0 + 2 NADH_c0 + cpd00144_c0;-1000;1000;0;0
23;rxn00179_c0;ATP_c0 + cpd00023_c0 <=> ADP_c0 + cpd02097_c0;-1000;1000;-6.31089e-30;0.360952
24;rxn00192_c0;cpd00022_c0 + cpd00023_c0 => CoA_c0 + H+_c0 + cpd00477_c0;0;1000;0;0
25;rxn00509_c0;H2O_c0 + NADP_c0 + cpd00199_c0 => 2 H+_c0 + NADPH_c0 + cpd00036_c0;0;1000;0;0
26;rxn01547_c0;H+_c0 + H2O_c0 + cpd00311_c0 <=> NH3_c0 + cpd01217_c0;-1000;1000;0;0
27;rxn02320_c0;cpd00024_c0 + cpd00807_c0 <=> cpd00023_c0 + cpd00930_c0;-1000;1000;-0.00409474;-0.000409474
28;rxn02796_c0;H2O_c0 + cpd03246_c0 <=> Taurine_c0 + cpd01663_c0;-1000;1000;0;0
29;rxn10262_c0;cpd00080_c0 + cpd15686_c0 <=> CMP_c0 + cpd15719_c0;-1000;1000;0;0
30;rxn00544_c0;TPP_c0 + cpd00071_c0 <=> cpd03049_c0;-1000;1000;-999.994;0.0592012
31;rxn04048_c0;cpd00017_c0 + cpd08370_c0 <=> H+_c0 + cpd00019_c0 + cpd08371_c0;-1000;1000;0;0
32;rxn10225_c0;CTP_c0 + cpd15682_c0 <=> H+_c0 + PPi_c0 + cpd15688_c0;-1000;1000;0;0
33;rxn01486_c0;cpd00113_c0 + cpd00350_c0 => H+_c0 + PPi_c0 + cpd00289_c0;0;1000;0;0
34;rxn00898_c0;cpd02498_c0 => H2O_c0 + cpd00123_c0;0;1000;0.00423093;0.0423093
35;rxn05040_c0;cpd00171_c0 => H+_c0 + Formate_c0 + cpd11225_c0;0;1000;6.39851e-05;0.000639851
36;rxn01636_c0;cpd00023_c0 + cpd00342_c0 <=> cpd00477_c0 + cpd00064_c0;-1000;1000;0.00130642;0.362259
37;rxn05235_c0;CTP_c0 + trdrd_c0 => H2O_c0 + dCTP_c0 + trdox_c0;0;1000;7.06528e-05;0.00165537
38;rxn02988_c0;2 H2O_c0 + cpd00009_c0 + cpd02333_c0 <= cpd00095_c0 + cpd03470_c0;-1000;-0;-0.000319926;-3.19926e-05
