VarName;VarType;VarCompartment;VarMin;VarMax
rxn01268_c0;FLUX;c;0;0.00623413
rxn00641_c0;FORWARD_FLUX;c;0;0
rxn00641_c0;REVERSE_FLUX;c;0;0
rxn12641_c0;FORWARD_FLUX;c;0;0
rxn12641_c0;REVERSE_FLUX;c;0;0
rxn00762_c0;FORWARD_FLUX;c;0;0
rxn00762_c0;REVERSE_FLUX;c;0;0
rxn08971_c0;FLUX;c;0;1.53659
rxn03057_c0;FORWARD_FLUX;c;0;0
rxn03057_c0;REVERSE_FLUX;c;0;0
rxn04384_c0;FORWARD_FLUX;c;0;0
rxn04384_c0;REVERSE_FLUX;c;0;0
rxn03887_c0;FLUX;c;0;0
rxn02775_c0;FORWARD_FLUX;c;0;0
rxn02775_c0;REVERSE_FLUX;c;0;0
rxn00060_c0;FLUX;c;3.19926e-05;0.000319926
rxn00225_c0;FORWARD_FLUX;c;0;1000
rxn00225_c0;REVERSE_FLUX;c;0;999.897
rxn05350_c0;FLUX;c;0;0
rxn09198_c0;FORWARD_FLUX;c;0;0
rxn09198_c0;REVERSE_FLUX;c;0;0
rxn00148_c0;FORWARD_FLUX;c;0;1000
rxn00148_c0;REVERSE_FLUX;c;0;999.912
rxn00100_c0;FLUX;c;3.19926e-05;0.000319926
rxn00789_c0;REVERSE_FLUX;c;0.000409474;0.00409474
rxn02374_c0;FLUX;c;0;0.360952
rxn03436_c0;FORWARD_FLUX;c;0.00168919;0.0168919
rxn03436_c0;REVERSE_FLUX;c;0;0
rxn08976_c0;FLUX;c;0;719.483
rxn00781_c0;FORWARD_FLUX;c;0;999.987
rxn00781_c0;REVERSE_FLUX;c;0;0.340404
rxn05319_c0;REVERSE_FLUX;c;0.294027;6.9193
rxn05298_c0;FORWARD_FLUX;c;0;1000
rxn05298_c0;REVERSE_FLUX;c;0;1000
rxn08336_c0;FLUX;c;0;0.0106925
rxn05401_c0;FORWARD_FLUX;c;0.00044006;0.0044006
rxn05401_c0;REVERSE_FLUX;c;0;0
rxn02264_c0;FORWARD_FLUX;c;3.19926e-05;0.000319926
rxn02264_c0;REVERSE_FLUX;c;0;0
rxn09202_c0;FORWARD_FLUX;c;5.50076e-05;0.000550076
rxn09202_c0;REVERSE_FLUX;c;0;0
rxn02687_c0;FORWARD_FLUX;c;0;0
rxn02687_c0;REVERSE_FLUX;c;0;0
rxn00097_c0;FORWARD_FLUX;c;0;1000
rxn00097_c0;REVERSE_FLUX;c;0;0.0628456
rxn01217_c0;FLUX;c;0;0.000948846
rxn02212_c0;FLUX;c;0.00176148;0.165398
rxn07670_c0;FORWARD_FLUX;c;0;0
rxn07670_c0;REVERSE_FLUX;c;0;0
rxn03535_c0;FORWARD_FLUX;c;0;0
rxn03535_c0;REVERSE_FLUX;c;0;0
rxn00692_c0;FORWARD_FLUX;c;0;0
rxn00692_c0;REVERSE_FLUX;c;0.032341;0.608204
rxn00802_c0;FORWARD_FLUX;c;0.00127443;999.931
rxn00802_c0;REVERSE_FLUX;c;0;0
rxn00926_c0;FLUX;c;0.000850143;0.00850143
rxn10230_c0;FLUX;c;0;0
rxn01997_c0;FLUX;c;0.000129204;0.00129204
rxn08521_c0;FORWARD_FLUX;c;0;0
rxn08521_c0;REVERSE_FLUX;c;0;0
rxn01362_c0;REVERSE_FLUX;c;0.00106925;0.0106925
rxn03174_c0;REVERSE_FLUX;c;0;0.000479888
rxn00549_c0;FLUX;c;0.0050153;0.168652
rxn04779_c0;FORWARD_FLUX;c;0;0
rxn04779_c0;REVERSE_FLUX;c;0;0
